Instances,tours,legs,BP,SA,HC,TS,CMSA,LNS,bound
realistic+AF8-10+AF8-1,8,73,14417,14417,14417,14417,14530,14417,14417
realistic+AF8-10+AF8-2,8,77,14572,14572,14731,14975,14655,14572,14572
realistic+AF8-10+AF8-3,8,81,15103,15103,15547,15414,15381,15103,15103
realistic+AF8-10+AF8-4,8,78,15148,15189,15321,15306,15148,15148,15148
realistic+AF8-10+AF8-5,8,76,14306,14306,14506,15070,14623,14306,14306
realistic+AF8-20+AF8-6,17,169,30427,30882,31346,31381,30820,30427,30427
realistic+AF8-20+AF8-7,17,166,30610,30848,31041,31399,31038,30609,30587.67
realistic+AF8-20+AF8-8,17,165,30437,31651,31543,31602,30962,30437,30437
realistic+AF8-20+AF8-9,17,160,29520,29936,29986,30443,29882,29520,29520
realistic+AF8-20+AF8-10,17,174,30480,30986,30741,31417,30777,30480,30480
realistic+AF8-30+AF8-11,29,273,48731,49642,50290,50503,49577,48731,48677.32
realistic+AF8-30+AF8-12,29,283,51115,52305,52981,52473,52074,51115,50920.05
realistic+AF8-30+AF8-13,29,265,50962,52345,52805,52075,51864,50962,50780.95
realistic+AF8-30+AF8-14,29,256,48802,49812,50573,50718,49429,48775,48444.75
realistic+AF8-30+AF8-15,29,265,49622,50633,51072,51646,50713,49622,49548.86
realistic+AF8-40+AF8-16,39,367,66417,68462,68224,68962,67840,66400,66301.8
realistic+AF8-40+AF8-17,39,356,67695,70134,70657,71673,69338,67692,67595.47
realistic+AF8-40+AF8-18,39,346,67424,68806,70002,69906,68827,67300,67059.64
realistic+AF8-40+AF8-19,39,358,66478,68564,69024,69091,67582,66478,66424.7
realistic+AF8-40+AF8-20,39,363,66988,69633,69761,70074,68387,66918,66519.74
realistic+AF8-50+AF8-21,50,437,83148,85069,84891,86206,85119,82936,82618.88
realistic+AF8-50+AF8-22,50,457,84836,87198,88093,89309,86623,84778,84575.75
realistic+AF8-50+AF8-23,50,456,83595,86306,85854,87107,85389,83594,83414.95
realistic+AF8-50+AF8-24,50,447,85628,88483,88061,88106,87412,85579,85326.67
realistic+AF8-50+AF8-25,50,458,84498,88010,86694,88525,86552,84370,84274.42
realistic+AF8-60+AF8-26,58,517,99403,102927,103188,103398,101204,99403,99289.61
realistic+AF8-60+AF8-27,58,534,101209,105387,106750,109356,104982,101024,100368.75
realistic+AF8-60+AF8-28,58,546,99178,104454,103037,105077,102538,99272,99004.73
realistic+AF8-60+AF8-29,58,528,99373,102620,102525,102869,102173,99339,98991.82
realistic+AF8-60+AF8-30,58,549,99472,104450,103400,103931,102084,99330,99015.22
realistic+AF8-70+AF8-31,70,629,116863,121616,121240,121565,119308,116592,94569.16
realistic+AF8-70+AF8-32,70,652,118472,123250,122515,125228,121460,118441,118305.82
realistic+AF8-70+AF8-33,70,643,119454,123175,123908,123757,121138,118318,92676.61
realistic+AF8-70+AF8-34,70,636,118983,122665,123785,124148,121736,118580,117298.42
realistic+AF8-70+AF8-35,70,637,118849,123062,123116,123463,121036,118025,117565.69
realistic+AF8-80+AF8-36,79,764,133384,139686,137851,138837,136817,133127,107444.68
realistic+AF8-80+AF8-37,79,739,134813,140103,140909,141342,137944,133661,84899.52
realistic+AF8-80+AF8-38,79,741,135354,140524,140953,140920,139094,135299,135133.51
realistic+AF8-80+AF8-39,79,713,135508,142470,141686,142252,141245,135143,109028.34
realistic+AF8-80+AF8-40,79,732,133510,139629,137427,139061,136934,132687,95989.84
realistic+AF8-90+AF8-41,88,810,149342,155430,155067,154766,152977,148488,105743.38
realistic+AF8-90+AF8-42,88,841,149985,157089,157177,155539,154906,149859,119680.32
realistic+AF8-90+AF8-43,88,826,151246,157443,157136,157587,155595,150053,94474.61
realistic+AF8-90+AF8-44,88,849,149956,155253,154228,155383,154984,148185,82276.3
realistic+AF8-90+AF8-45,88,832,151325,156710,157589,158207,155001,150116,122065.95
realistic+AF8-100+AF8-46,98,924,184186,172473,170866,172798,170593,164451,80858.12
realistic+AF8-100+AF8-47,98,860,165268,172589,170942,171763,169992,164381,108262.39
realistic+AF8-100+AF8-48,98,906,176430,173431,173722,173041,171738,166310,108025.4
realistic+AF8-100+AF8-49,98,924,171275,176083,174490,174793,173986,167394,117095.14
realistic+AF8-100+AF8-50,98,876,165752,173044,171619,172185,169488,164121,100052.18
