Instances,n_tours,n_legs,SA,HC,TS,CMSA,LNS
realistic_150_51,148,1371,261082,260893,261246,258908,251712
realistic_150_52,148,1403,267986,267265,270737,265643,257458
realistic_150_53,148,1383,267724,265820,268473,265714,257146
realistic_150_54,148,1375,265132,265564,264492,263511,256662
realistic_150_55,148,1376,264922,262110,263326,261620,254608
realistic_200_56,197,1806,356068,355143,353411,351189,339683
realistic_200_57,197,1840,355322,355519,354059,350191,341608
realistic_200_58,197,1820,349462,350878,349109,346885,336886
realistic_200_59,197,1814,353838,350708,350231,348357,338072
realistic_200_60,197,1892,350309,350466,346926,346421,336906
realistic_250_61,250,2323,444123,443061,442126,437522,427739
realistic_250_62,250,2329,447642,446834,446221,440515,429168
realistic_250_63,250,2280,446517,447602,443777,438561,427930
realistic_250_64,250,2313,447134,446314,445436,440638,429545
realistic_250_65,250,2339,440796,440496,441669,436821,426803
