Instances,n+AF8-tours,n+AF8-legs,SA,HC,TS,CMSA,LNS
realistic+AF8-150+AF8-51,148,1371,261082,260893,261246,258908,250478
realistic+AF8-150+AF8-52,148,1403,267986,267265,270737,265643,256206
realistic+AF8-150+AF8-53,148,1383,267724,265820,268473,265714,255763
realistic+AF8-150+AF8-54,148,1375,265132,265564,264492,263511,255008
realistic+AF8-150+AF8-55,148,1376,264922,262110,263326,261620,253524
realistic+AF8-200+AF8-56,197,1806,356068,355143,353411,351189,338966
realistic+AF8-200+AF8-57,197,1840,355322,355519,354059,350191,339736
realistic+AF8-200+AF8-58,197,1820,349462,350878,349109,346885,335751
realistic+AF8-200+AF8-59,197,1814,353838,350708,350231,348357,336242
realistic+AF8-200+AF8-60,197,1892,350309,350466,346926,346421,335414
realistic+AF8-250+AF8-61,250,2323,444123,443061,442126,437522,425880
realistic+AF8-250+AF8-62,250,2329,447642,446834,446221,440515,428008
realistic+AF8-250+AF8-63,250,2280,446517,447602,443777,438561,426919
realistic+AF8-250+AF8-64,250,2313,447134,446314,445436,440638,427983
realistic+AF8-250+AF8-65,250,2339,440796,440496,441669,436821,424907
