Instances,Source,feature_n_tours,feature_n_legs,feature_n_position_used,feature_drive_min,feature_drive_max,feature_drive_mean,feature_drive_median,feature_drive_std,feature_drive_first_quantile,feature_drive_third_quartile,feature_diff_min,feature_diff_max,feature_diff_mean,feature_diff_median,feature_diff_std,feature_diff_first_quantile,feature_diff_third_quartile,feature_max_active_buses,feature_average_distance,feature_huge,feature_large,feature_medium,feature_small,feature_tiny,feature_max_num_legs_per_tour,feature_min_num_legs_per_tour,feature_mean_num_legs_per_tour,feature_median_num_legs_per_tour,feature_std_num_legs_per_tour,feature_1st_quantile_num_legs_per_tour,feature_3rd_quantile_num_legs_per_tour,feature_max_total_time_per_tour,feature_min_total_time_per_tour,feature_mean_total_time_per_tour,feature_median_total_time_per_tour,feature_std_total_time_per_tour,feature_1st_quantile_total_time_per_tour,feature_3rd_quantile_total_time_per_tour,feature_max_number_breaks_per_tour,feature_min_number_breaks_per_tour,feature_mean_number_breaks_per_tour,feature_median_number_breaks_per_tour,feature_std_number_breaks_per_tour,feature_1st_quantile_number_breaks_per_tour,feature_3rd_quantile_number_breaks_per_tour,feature_max_number_of_proper_breaks_per_tour,feature_min_number_of_proper_breaks_per_tour,feature_mean_number_of_proper_breaks_per_tour,feature_median_number_of_proper_breaks_per_tour,feature_std_number_of_proper_breaks_per_tour,feature_1st_quantile_number_of_proper_breaks_per_tour,feature_3rd_quantile_number_of_proper_breaks_per_tour,feature_max_proportion_of_large_legs_per_tour,feature_min_proportion_of_large_legs_per_tour,feature_mean_proportion_of_large_legs_per_tour,feature_median_proportion_of_large_legs_per_tour,feature_std_proportion_of_large_legs_per_tour,feature_1st_quantile_proportion_of_large_legs_per_tour,feature_3rd_quantile_proportion_of_large_legs_per_tour,feature_min_max_rro,feature_max_max_rro,feature_mean_max_rro,feature_median_max_rro,feature_std_max_rro,feature_min_min_rro,feature_max_min_rro,feature_mean_min_rro,feature_median_min_rro,feature_std_min_rro,feature_min_mean_rro,feature_max_mean_rro,feature_mean_mean_rro,feature_median_mean_rro,feature_std_mean_rro,feature_min_median_rro,feature_max_median_rro,feature_mean_median_rro,feature_median_median_rro,feature_std_median_rro,feature_min_std_rro,feature_max_std_rro,feature_mean_std_rro,feature_median_std_rro,feature_std_std_rro,algo_CMSA,algo_LNS
breakMax_100_1,breakMax,311,783,45,25,51,35.6053639846743,35.0,8.56490936187265,27,43,0,10,9.2604501607717,10.0,2.61697619927663,10,10,783,183.40049382716,1.0,0.0,0.0,0.0,0,4,1,2.51768488745981,2.0,0.79720720944287,2.0,3.0,171,31,104.819935691318,87.0,39.3384161501816,72.0,144.0,3,0,1.51768488745981,1.0,0.79720720944287,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,38,3.57777777777778,3.0,5.2851527419908,0,1,0.066666666666667,0.0,0.249443825784929,0.3,19.4375,1.28560769477436,0.888888888888889,2.75323115200364,0.0,17.5,1.06666666666667,1.0,2.52234458831902,0.0,11.8952130603029,1.12348738313987,0.872493939658313,1.64988855464297,114498.4,113714.4
breakMax_100_2,breakMax,312,699,68,22,56,37.0858369098712,37.0,10.639821130283,27,46,0,8,6.43589743589744,8.0,3.17275963189591,8,8,699,149.486591695502,1.0,0.0,0.0,0.0,0,5,1,2.24038461538462,2.0,0.860402324359548,2.0,3.0,169,30,93.0096153846154,84.0,38.2627124489971,63.0,136.0,4,0,1.24038461538462,1.0,0.860402324359548,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,46,2.38235294117647,2.0,5.37431093193161,0,2,0.205882352941176,0.0,0.471506457114159,0.222222222222222,17.3333333333333,0.901078011950917,0.577380952380952,2.03631658823492,0.0,16.0,0.698529411764706,0.0,1.94811316308724,0.0,11.5662343819316,0.710219893679858,0.579342529783951,1.34836565747154,115034.8,113973.8
breakMax_100_3,breakMax,305,621,18,27,51,35.0901771336554,33.0,7.69391817874667,27,41,0,14,11.5213114754098,14.0,5.34394447410593,14,14,621,198.518518518519,1.0,0.0,0.0,0.0,0,4,1,2.03606557377049,2.0,0.62882476562554,2.0,2.0,162,30,85.9508196721312,81.0,32.571246612396,71.0,91.0,3,0,1.03606557377049,1.0,0.62882476562554,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,51,6.5,4.0,10.8589440861746,0,3,0.166666666666667,0.0,0.687184270936277,0.461538461538462,17.9411764705882,2.25011222437693,1.30952380952381,3.83144285775102,0.0,10.0,1.52777777777778,1.0,2.11129385173998,0.498518515262143,14.5782698410029,1.95562502488747,1.22991967301116,3.07888870764684,98281.2,96740.6
breakMax_100_4,breakMax,345,853,40,28,41,32.9249706916764,32.0,4.45179971039906,28,37,0,10,9.21739130434783,10.0,2.68581655851835,10,10,853,222.57,1.0,0.0,0.0,0.0,0,5,1,2.47246376811594,2.0,0.910467957075461,2.0,3.0,197,31,96.1304347826087,79.0,39.5112579970142,72.0,130.0,4,0,1.47246376811594,1.0,0.910467957075461,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,54,4.075,2.5,8.09131478809223,0,2,0.05,0.0,0.31224989991992,0.31578947368421,18.1578947368421,1.25256232941895,0.823529411764706,2.7241488494015,0.0,13.0,0.875,1.0,1.99608992783391,0.479157423749955,13.2992408089403,1.18372129773813,0.827976741148267,1.9588711219882,137335.6,134448.6
breakMax_100_5,breakMax,325,736,37,23,43,31.5842391304348,32.0,6.81478344000167,24,38,0,13,10.48,13.0,5.13902714528733,13,13,736,160.439737034332,1.0,0.0,0.0,0.0,0,4,1,2.26461538461538,2.0,0.930249059988489,2.0,3.0,174,34,87.9661538461538,76.0,39.4491543320613,64.0,129.0,3,0,1.26461538461538,1.0,0.930249059988489,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,48,3.81081081081081,2.0,7.41742957531435,0,1,0.054054054054054,0.0,0.226124331495696,0.25,18.0555555555556,1.26938274689823,0.823529411764706,2.80854282727436,0.0,14.0,0.959459459459459,1.0,2.22205887720417,0.433012701892219,12.721251782493,1.13589190450882,0.78480376847802,1.94180216407489,126169.6,125719.4
breakMax_150_1,breakMax,490,1212,45,25,51,35.6328382838284,35.0,8.6353336735598,27,43,0,10,8.85714285714286,10.0,3.18157963590287,10,10,1212,177.096296296296,1.0,0.0,0.0,0.0,0,4,1,2.4734693877551,2.0,0.859704626590585,2.0,3.0,175,30,102.871428571429,86.0,40.9408956762735,70.0,141.0,3,0,1.4734693877551,1.0,0.859704626590585,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,62,4.62222222222222,3.0,8.72363045956566,0,3,0.066666666666667,0.0,0.442216638714053,0.294117647058823,30.625,1.81679100855571,1.0625,4.36753976022155,0.0,29.0,1.63333333333333,1.0,4.15718922136367,0.455645099553814,19.1078354347111,1.41586518400096,1.02224395276369,2.68256276573231,215400.8,203360.8
breakMax_150_2,breakMax,480,1036,68,22,56,36.6052123552123,36.0,10.8120808599674,26,46,0,8,6.0,8.0,3.46410161513775,8,8,1036,136.719290657439,1.0,0.0,0.0,0.0,0,4,1,2.15833333333333,2.0,0.919654222460208,1.75,3.0,177,30,88.2729166666667,77.0,40.4653464892253,56.75,134.0,3,0,1.15833333333333,1.0,0.919654222460208,0.75,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,79,3.41176470588235,2.0,9.28666864558395,0,5,0.176470588235294,0.0,0.705882352941176,0.2,26.6666666666667,1.13787746797103,0.703296703296703,3.14147674365116,0.0,17.0,0.808823529411765,0.5,2.05266937354593,0.0,19.1630431357397,1.00562434204294,0.738381418219736,2.23763619343945,198924.2,180227.0
breakMax_150_3,breakMax,421,882,18,27,51,35.4274376417234,34.0,7.75531826951873,27,42,0,14,11.2066508313539,14.0,5.5950057000033,14,14,882,202.475308641975,1.0,0.0,0.0,0.0,0,4,1,2.09501187648456,2.0,0.736234763467017,2.0,3.0,171,30,89.5510688836105,82.0,38.0812405740095,71.0,135.0,3,0,1.09501187648456,1.0,0.736234763467017,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,3,70,8.5,5.0,14.9898113545316,0,1,0.166666666666667,0.0,0.372677996249965,0.833333333333333,24.7647058823529,2.95835991804129,1.54084967320261,5.32238795216093,0.0,16.0,2.19444444444444,1.25,3.40807410949388,0.927024810886958,20.3831805281439,2.44879014587977,1.42944373232748,4.36320139858293,159512.8,154103.8
breakMax_150_4,breakMax,529,1388,40,28,41,32.9373198847262,32.0,4.53274563798932,28,37,0,10,9.20604914933838,10.0,2.70354407275893,10,10,1388,167.5525,1.0,0.0,0.0,0.0,0,5,1,2.62381852551985,2.0,0.95863391951343,2.0,3.0,198,30,102.659735349716,85.0,41.7471177222478,72.0,136.0,4,0,1.62381852551985,1.0,0.95863391951343,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,2,76,5.425,3.0,11.3399459875257,0,6,0.15,0.0,0.93674969975976,0.538461538461538,27.8421052631579,1.93557022623489,1.27046783625731,4.16046418066979,0.0,23.0,1.6625,1.0,3.44308636981415,0.634323942402717,17.3152295542172,1.47796896031502,1.04724416551728,2.54463189365684,216739.6,202402.6
breakMax_150_5,breakMax,464,1223,37,23,43,31.1913327882257,31.0,6.75655571098758,24,37,0,13,11.8512931034483,13.0,3.68966964930289,13,13,1223,146.033601168736,1.0,0.0,0.0,0.0,0,5,1,2.63577586206897,2.0,0.990739579949963,2.0,4.0,188,32,103.478448275862,87.5,42.8123860301216,69.0,144.0,4,0,1.63577586206897,1.0,0.990739579949963,1.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,2,53,5.02702702702703,4.0,8.13562896947736,0,8,0.216216216216216,0.0,1.2972972972973,0.666666666666667,25.7777777777778,1.90417591025176,1.22222222222222,4.0000487335768,0.0,21.5,1.64864864864865,1.0,3.33260888158711,0.51028209025435,11.9840428883836,1.37408117106227,1.04470701269891,1.80220670081094,223363.0,207158.8
