Instances,LNS+AF8-JAIR,CMSA,BP
realistic+AF8-10+AF8-1,14417,14530,14417
realistic+AF8-10+AF8-2,14572,14655,14572
realistic+AF8-10+AF8-3,15147,15381,15103
realistic+AF8-10+AF8-4,15148,15148,15148
realistic+AF8-10+AF8-5,14306,14623,14306
realistic+AF8-20+AF8-6,30427,30820,30427
realistic+AF8-20+AF8-7,30609,31038,30633
realistic+AF8-20+AF8-8,30437,30962,30437
realistic+AF8-20+AF8-9,29520,29882,29520
realistic+AF8-20+AF8-10,30480,30777,30480
realistic+AF8-30+AF8-11,48829,49577,48754
realistic+AF8-30+AF8-12,51211,52074,51115
realistic+AF8-30+AF8-13,50962,51864,50962
realistic+AF8-30+AF8-14,48760,49429,48779
realistic+AF8-30+AF8-15,49622,50713,49622
realistic+AF8-40+AF8-16,66475,67840,66420
realistic+AF8-40+AF8-17,67785,69338,67695
realistic+AF8-40+AF8-18,67390,68827,67448
realistic+AF8-40+AF8-19,66519,67582,66478
realistic+AF8-40+AF8-20,66918,68387,67044
realistic+AF8-50+AF8-21,83031,85119,83148
realistic+AF8-50+AF8-22,84964,86623,84836
realistic+AF8-50+AF8-23,83681,85389,83599
realistic+AF8-50+AF8-24,85664,87412,85610
realistic+AF8-50+AF8-25,84474,86552,84501
realistic+AF8-60+AF8-26,99618,101204,99403
realistic+AF8-60+AF8-27,101395,104982,101322
realistic+AF8-60+AF8-28,99792,102538,99170
realistic+AF8-60+AF8-29,99679,102173,99433
realistic+AF8-60+AF8-30,99737,102084,99445
realistic+AF8-70+AF8-31,117115,119308,117130
realistic+AF8-70+AF8-32,118892,121460,118463
realistic+AF8-70+AF8-33,118969,121138,119026
realistic+AF8-70+AF8-34,118890,121736,118832
realistic+AF8-70+AF8-35,118456,121036,118237
realistic+AF8-80+AF8-36,133882,136817,134308
realistic+AF8-80+AF8-37,134407,137944,134544
realistic+AF8-80+AF8-38,135903,139094,135348
realistic+AF8-80+AF8-39,135846,141245,136730
realistic+AF8-80+AF8-40,133600,136934,133699
realistic+AF8-90+AF8-41,149351,152977,149515
realistic+AF8-90+AF8-42,150496,154906,150655
realistic+AF8-90+AF8-43,150734,155595,150890
realistic+AF8-90+AF8-44,149280,154984,149508
realistic+AF8-90+AF8-45,151019,155001,150896
realistic+AF8-100+AF8-46,165306,170593,175040
realistic+AF8-100+AF8-47,165156,169992,165210
realistic+AF8-100+AF8-48,167088,171738,168153
realistic+AF8-100+AF8-49,168343,173986,169039
realistic+AF8-100+AF8-50,165362,169488,165329
realistic+AF8-150+AF8-51,250995,258908,266077
realistic+AF8-150+AF8-52,256639,265643,272349
realistic+AF8-150+AF8-53,255561,265714,274263
realistic+AF8-150+AF8-54,255651,263511,273700
realistic+AF8-150+AF8-55,254183,261620,281757
realistic+AF8-200+AF8-56,338978,351189,380098
realistic+AF8-200+AF8-57,339573,350191,389369
realistic+AF8-200+AF8-58,335566,346885,375230
realistic+AF8-200+AF8-59,337170,348357,373198
realistic+AF8-200+AF8-60,336135,346421,384695
realistic+AF8-250+AF8-61,426271,437522,554480
realistic+AF8-250+AF8-62,428230,440515,501445
realistic+AF8-250+AF8-63,426670,438561,495152
realistic+AF8-250+AF8-64,428012,440638,515030
realistic+AF8-250+AF8-65,424652,436821,534210
